--Probe dump file for probe: org.yardstickframework.probes.ThroughputLatencyProbe@efe96b (class org.yardstickframework.probes.ThroughputLatencyProbe)
--Created Thu Jul 23 13:54:01 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkIgniteSqlBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-IgniteSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-135343, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 3, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkIgniteSqlBenchmark, -cn, atomic, -sn, IgniteNode, -ds, RELEASE--IgniteSQL-1-backup, --config, config/benchmark-IgniteSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkIgniteSqlBenchmark -cn atomic -sn IgniteNode -ds ${ver}-IgniteSQL-1-backup", JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="RELEASE-", SERVER_HOSTS=localhost,localhost}, shutdownHook=true, outputFolder=results-20150723-135343, outputWriter=java.io.PrintStream@10d9491, errorWriter=java.io.PrintStream@94cf9e, descriptions=[RELEASE--IgniteSQL-1-backup], hostName=]
--Description: RELEASE--IgniteSQL-1-backup
@@SparkIgniteSqlBenchmark
**"Time, sec","Operations/sec (more is better)","Latency, nsec (less is better)"
1437639903,65.00,792715670.28
1437639904,62.00,981563508.18
1437639905,63.00,1119635835.30
1437639906,64.00,966996969.72
1437639907,68.00,941181439.69
1437639908,65.00,899268340.80
1437639909,79.00,909648987.75
1437639910,95.00,902714231.63
1437639911,73.00,912722433.99
1437639912,65.00,920869917.94
