--Probe dump file for probe: org.yardstickframework.probes.VmStatProbe@1cb9f4b (class org.yardstickframework.probes.VmStatProbe)
--Created Thu Jul 23 13:54:01 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkIgniteSqlBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-IgniteSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-135343, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 3, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkIgniteSqlBenchmark, -cn, atomic, -sn, IgniteNode, -ds, RELEASE--IgniteSQL-1-backup, --config, config/benchmark-IgniteSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkIgniteSqlBenchmark -cn atomic -sn IgniteNode -ds ${ver}-IgniteSQL-1-backup", JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="RELEASE-", SERVER_HOSTS=localhost,localhost}, shutdownHook=true, outputFolder=results-20150723-135343, outputWriter=java.io.PrintStream@10d9491, errorWriter=java.io.PrintStream@94cf9e, descriptions=[RELEASE--IgniteSQL-1-backup], hostName=]
--Description: RELEASE--IgniteSQL-1-backup
@@SparkIgniteSqlBenchmark
**"Time, sec","Processes Waiting For Run Time","Processes In Uninterruptible Sleep","Memory Used, KB","Memory Free, KB","Memory Buffered, KB","Memory Cached, KB","Memory Swapped In From Disk, per sec","Memory Swapped To Disk, per sec","IO Blocks Received, blocks/sec","IO Blocks Sent, blocks/sec","System Interrupts, per sec","System Context Switches, per sec","CPU User, %","CPU System, %","CPU Idle, %","CPU Wait, %"
1437639903,5.00,0.00,0.00,5742500.00,84484.00,1724072.00,0.00,0.00,0.00,4908.00,5176.00,27898.00,74.00,10.00,15.00,1.00
1437639904,7.00,0.00,0.00,5741532.00,84500.00,1724784.00,0.00,0.00,0.00,0.00,4892.00,25409.00,79.00,8.00,13.00,0.00
1437639905,10.00,0.00,0.00,5740084.00,84516.00,1725456.00,0.00,0.00,0.00,0.00,5142.00,27485.00,74.00,9.00,17.00,0.00
1437639906,9.00,0.00,0.00,5739800.00,84532.00,1726192.00,0.00,0.00,0.00,0.00,4983.00,27001.00,72.00,10.00,18.00,0.00
1437639907,11.00,0.00,0.00,5738780.00,84556.00,1726936.00,0.00,0.00,0.00,228.00,5056.00,28568.00,74.00,7.00,19.00,0.00
1437639908,8.00,0.00,0.00,5737888.00,84572.00,1727744.00,0.00,0.00,0.00,4236.00,5335.00,29352.00,72.00,10.00,19.00,0.00
1437639909,6.00,0.00,0.00,5737236.00,84592.00,1728540.00,0.00,0.00,0.00,0.00,5066.00,28768.00,74.00,7.00,18.00,1.00
1437639910,5.00,0.00,0.00,5735800.00,84608.00,1729268.00,0.00,0.00,0.00,0.00,5468.00,28428.00,77.00,7.00,17.00,0.00
1437639911,3.00,0.00,0.00,5734544.00,84624.00,1730096.00,0.00,0.00,0.00,0.00,5271.00,28408.00,75.00,9.00,16.00,0.00
1437639912,10.00,0.00,0.00,5730868.00,84648.00,1730840.00,0.00,0.00,0.00,164.00,5235.00,29164.00,74.00,9.00,17.00,0.00
