--Probe dump file for probe: org.yardstickframework.probes.ThroughputLatencyProbe@dba6a9 (class org.yardstickframework.probes.ThroughputLatencyProbe)
--Created Thu Jul 23 14:07:37 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkSqlQueryBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-SparkSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-140720, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 2, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkSqlQueryBenchmark, -cn, atomic, -sn, IgniteNode, -ds, hz-3.4.2--SparkSQL-1-backup, --config, config/benchmark-SparkSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, "=, SQL_CONFIG_FILE=config/benchmark-twitter.yml, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkSqlQueryBenchmark -cn atomic -sn IgniteNode -ds ${ver}-SparkSQL-1-backup, JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="hz-3.4.2-", SERVER_HOSTS=localhost, BENCHMARK_LABEL=sparkcore}, shutdownHook=true, outputFolder=results-20150723-140720, outputWriter=java.io.PrintStream@b9a12b, errorWriter=java.io.PrintStream@1043b8f, descriptions=[hz-3.4.2--SparkSQL-1-backup], hostName=]
--Description: hz-3.4.2--SparkSQL-1-backup
@@SparkSqlQueryBenchmark
**"Time, sec","Operations/sec (more is better)","Latency, nsec (less is better)"
1437640790,53.00,133089859680.77
1437640791,0.00,0.00
1437640792,0.00,0.00
1437640793,0.00,0.00
1437640794,0.00,0.00
1437640795,0.00,0.00
1437640796,0.00,0.00
1437640797,0.00,0.00
1437640798,0.00,0.00
1437640799,0.00,0.00
1437640800,0.00,0.00
1437640801,0.00,0.00
1437640802,0.00,0.00
1437640803,0.00,0.00
1437640804,0.00,0.00
1437640805,0.00,0.00
1437640806,0.00,0.00
1437640807,0.00,0.00
1437640808,0.00,0.00
1437640809,0.00,0.00
1437640810,0.00,0.00
1437640811,0.00,0.00
1437640812,0.00,0.00
1437640813,0.00,0.00
1437640814,0.00,0.00
1437640815,0.00,0.00
1437640816,0.00,0.00
1437640817,0.00,0.00
1437640818,0.00,0.00
1437640819,0.00,0.00
1437640820,0.00,0.00
1437640821,0.00,0.00
1437640822,0.00,0.00
1437640823,0.00,0.00
1437640824,0.00,0.00
1437640825,0.00,0.00
1437640826,0.00,0.00
1437640827,0.00,0.00
1437640828,0.00,0.00
1437640829,0.00,0.00
1437640830,0.00,0.00
1437640831,0.00,0.00
1437640832,0.00,0.00
1437640833,0.00,0.00
1437640834,0.00,0.00
1437640835,0.00,0.00
1437640836,0.00,0.00
1437640837,0.00,0.00
1437640838,0.00,0.00
1437640839,0.00,0.00
1437640840,0.00,0.00
1437640841,0.00,0.00
1437640842,0.00,0.00
1437640843,0.00,0.00
1437640844,0.00,0.00
1437640845,0.00,0.00
1437640847,0.00,0.00
1437640848,0.00,0.00
1437640849,0.00,0.00
1437640850,0.00,0.00
1437640851,0.00,0.00
1437640852,0.00,0.00
1437640853,0.00,0.00
1437640854,0.00,0.00
1437640855,0.00,0.00
1437640856,0.00,0.00
1437640857,0.00,0.00
1437640858,0.00,0.00
1437640859,0.00,0.00
1437640860,0.00,0.00
1437640861,0.00,0.00
1437640862,0.00,0.00
1437640863,0.00,0.00
1437640864,0.00,0.00
1437640865,0.00,0.00
1437640866,0.00,0.00
1437640867,0.00,0.00
1437640868,0.00,0.00
1437640869,0.00,0.00
1437640870,0.00,0.00
1437640871,0.00,0.00
1437640872,0.00,0.00
1437640873,0.00,0.00
1437640874,0.00,0.00
1437640875,0.00,0.00
1437640876,0.00,0.00
1437640877,0.00,0.00
1437640878,0.00,0.00
1437640879,0.00,0.00
1437640880,0.00,0.00
1437640881,0.00,0.00
1437640882,0.00,0.00
1437640883,0.00,0.00
1437640884,0.00,0.00
1437640885,0.00,0.00
1437640886,0.00,0.00
1437640887,0.00,0.00
1437640888,0.00,0.00
1437640889,0.00,0.00
1437640890,0.00,0.00
1437640891,50.00,100634104470.26
