--Probe dump file for probe: org.yardstickframework.probes.VmStatProbe@c81cc9 (class org.yardstickframework.probes.VmStatProbe)
--Created Thu Jul 23 14:07:37 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkSqlQueryBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-SparkSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-140720, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 2, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkSqlQueryBenchmark, -cn, atomic, -sn, IgniteNode, -ds, hz-3.4.2--SparkSQL-1-backup, --config, config/benchmark-SparkSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, "=, SQL_CONFIG_FILE=config/benchmark-twitter.yml, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkSqlQueryBenchmark -cn atomic -sn IgniteNode -ds ${ver}-SparkSQL-1-backup, JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="hz-3.4.2-", SERVER_HOSTS=localhost, BENCHMARK_LABEL=sparkcore}, shutdownHook=true, outputFolder=results-20150723-140720, outputWriter=java.io.PrintStream@b9a12b, errorWriter=java.io.PrintStream@1043b8f, descriptions=[hz-3.4.2--SparkSQL-1-backup], hostName=]
--Description: hz-3.4.2--SparkSQL-1-backup
@@SparkSqlQueryBenchmark
**"Time, sec","Processes Waiting For Run Time","Processes In Uninterruptible Sleep","Memory Used, KB","Memory Free, KB","Memory Buffered, KB","Memory Cached, KB","Memory Swapped In From Disk, per sec","Memory Swapped To Disk, per sec","IO Blocks Received, blocks/sec","IO Blocks Sent, blocks/sec","System Interrupts, per sec","System Context Switches, per sec","CPU User, %","CPU System, %","CPU Idle, %","CPU Wait, %"
1437640791,18.00,0.00,0.00,5681500.00,89636.00,1869996.00,0.00,0.00,96.00,0.00,5693.00,20163.00,82.00,7.00,11.00,0.00
1437640792,10.00,0.00,0.00,5681588.00,89636.00,1869868.00,0.00,0.00,0.00,0.00,4434.00,16716.00,87.00,8.00,5.00,0.00
1437640793,6.00,0.00,0.00,5677732.00,89640.00,1871096.00,0.00,0.00,0.00,5728.00,7269.00,18162.00,80.00,10.00,9.00,1.00
1437640794,9.00,0.00,0.00,5674764.00,89640.00,1871956.00,0.00,0.00,0.00,0.00,6902.00,18353.00,78.00,8.00,14.00,0.00
1437640795,6.00,0.00,0.00,5673152.00,89640.00,1872460.00,0.00,0.00,0.00,0.00,6882.00,19345.00,78.00,8.00,14.00,0.00
1437640796,4.00,0.00,0.00,5672568.00,89640.00,1873380.00,0.00,0.00,0.00,0.00,7637.00,18198.00,79.00,8.00,12.00,0.00
1437640797,13.00,1.00,0.00,5670256.00,89640.00,1874780.00,0.00,0.00,0.00,0.00,7990.00,17809.00,77.00,10.00,14.00,0.00
1437640798,3.00,0.00,0.00,5669728.00,89656.00,1875512.00,0.00,0.00,0.00,6372.00,6764.00,18324.00,69.00,8.00,13.00,9.00
1437640799,4.00,0.00,0.00,5667804.00,89656.00,1875876.00,0.00,0.00,0.00,0.00,7278.00,17282.00,75.00,9.00,15.00,0.00
1437640800,8.00,0.00,0.00,5668352.00,89656.00,1876800.00,0.00,0.00,0.00,0.00,7494.00,18011.00,78.00,8.00,14.00,0.00
1437640801,4.00,0.00,0.00,5665800.00,89664.00,1877876.00,0.00,0.00,0.00,548.00,7842.00,19304.00,80.00,9.00,12.00,0.00
1437640802,7.00,0.00,0.00,5666296.00,89664.00,1877760.00,0.00,0.00,0.00,0.00,5759.00,25089.00,77.00,8.00,15.00,0.00
1437640803,10.00,0.00,0.00,5666212.00,89664.00,1878008.00,0.00,0.00,0.00,0.00,5457.00,25514.00,77.00,7.00,16.00,1.00
1437640804,6.00,0.00,0.00,5666336.00,89664.00,1878220.00,0.00,0.00,0.00,0.00,5701.00,25897.00,75.00,7.00,18.00,0.00
1437640805,5.00,0.00,0.00,5666340.00,89664.00,1878456.00,0.00,0.00,0.00,0.00,5474.00,25037.00,76.00,7.00,17.00,0.00
1437640806,12.00,0.00,0.00,5665964.00,89672.00,1877192.00,0.00,0.00,0.00,512.00,5473.00,24245.00,82.00,6.00,11.00,0.00
1437640807,8.00,0.00,0.00,5666316.00,89672.00,1877084.00,0.00,0.00,0.00,0.00,4956.00,21293.00,84.00,6.00,10.00,0.00
1437640808,5.00,0.00,0.00,5666460.00,89680.00,1877280.00,0.00,0.00,0.00,312.00,5526.00,25137.00,77.00,8.00,15.00,0.00
1437640809,4.00,0.00,0.00,5666540.00,89680.00,1877472.00,0.00,0.00,0.00,2676.00,5493.00,24675.00,73.00,8.00,16.00,3.00
1437640810,5.00,0.00,0.00,5666476.00,89680.00,1877712.00,0.00,0.00,0.00,0.00,6698.00,27251.00,79.00,6.00,15.00,0.00
1437640811,6.00,0.00,0.00,5666316.00,89680.00,1877900.00,0.00,0.00,0.00,0.00,5652.00,25394.00,74.00,9.00,17.00,0.00
