--Probe dump file for probe: org.yardstickframework.probes.VmStatProbe@b841ee (class org.yardstickframework.probes.VmStatProbe)
--Created Thu Jul 23 14:23:19 IST 2015
--Benchmark config: BenchmarkConfiguration [driverNames='[SparkSqlQueryBenchmark]', serverName='IgniteNode', threads=64, duration=10, warmup=60, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe, DStatProbe, VmStatProbe], propsFileName='config/benchmark-SparkSQL.properties', packages=[org.yardstickframework, org.yardstickframework.ignite, org.yardstickframework.spark, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, results-20150723-142303, -cfg, /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml, -nn, 2, -b, 1, -w, 60, -d, 10, -t, 64, -sm, PRIMARY_SYNC, -dn, SparkSqlQueryBenchmark, -cn, atomic, -sn, IgniteNode, -ds, hz-3.4.2--SparkSQL-1-backup, --config, config/benchmark-SparkSQL.properties], probeWriter='null', customProps={BENCHMARK_PACKAGES=org.yardstickframework,org.yardstickframework.ignite,org.yardstickframework.spark,org.apache.ignite.yardstick, "=, SQL_CONFIG_FILE=config/benchmark-twitter.yml, DRIVER_HOSTS=localhost, RESTART_SERVERS=true, CONFIGS="-cfg /mnt/thirdeye/yardstick-spark/config/ignite-localhost-config.xml -nn ${nodesNum} -b 1 -w 60 -d 10 -t 64 -sm PRIMARY_SYNC -dn SparkSqlQueryBenchmark -cn atomic -sn IgniteNode -ds ${ver}-SparkSQL-1-backup, JVM_OPTS=${JVM_OPTS}" -Xloggc:./gc.log -XX:+PrintGCDetails -verbose:gc -XX:+UseParNewGC -XX:+UseConcMarkSweepGC -XX:+UseTLAB -XX:NewSize=128m -XX:MaxNewSize=128m -XX:MaxTenuringThreshold=0 -XX:SurvivorRatio=1024 -XX:+UseCMSInitiatingOccupancyOnly -XX:CMSInitiatingOccupancyFraction=60 ", nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), ver="hz-3.4.2-", SERVER_HOSTS=localhost, BENCHMARK_LABEL=sparkcore}, shutdownHook=true, outputFolder=results-20150723-142303, outputWriter=java.io.PrintStream@1ca6032, errorWriter=java.io.PrintStream@17182ec, descriptions=[hz-3.4.2--SparkSQL-1-backup], hostName=]
--Description: hz-3.4.2--SparkSQL-1-backup
@@SparkSqlQueryBenchmark
**"Time, sec","Processes Waiting For Run Time","Processes In Uninterruptible Sleep","Memory Used, KB","Memory Free, KB","Memory Buffered, KB","Memory Cached, KB","Memory Swapped In From Disk, per sec","Memory Swapped To Disk, per sec","IO Blocks Received, blocks/sec","IO Blocks Sent, blocks/sec","System Interrupts, per sec","System Context Switches, per sec","CPU User, %","CPU System, %","CPU Idle, %","CPU Wait, %"
1437641727,10.00,0.00,0.00,4820836.00,98144.00,1928796.00,0.00,0.00,0.00,5088.00,5510.00,21021.00,79.00,9.00,12.00,0.00
1437641728,10.00,0.00,0.00,4821244.00,98144.00,1928484.00,0.00,0.00,0.00,0.00,4800.00,18010.00,86.00,8.00,6.00,0.00
1437641729,7.00,0.00,0.00,4796780.00,98152.00,1932552.00,0.00,0.00,0.00,1684.00,7156.00,23127.00,83.00,11.00,5.00,1.00
1437641730,5.00,0.00,0.00,4776232.00,98152.00,1948116.00,0.00,0.00,0.00,2004.00,6215.00,21852.00,83.00,11.00,4.00,3.00
1437641731,9.00,0.00,0.00,4757704.00,98152.00,1959328.00,0.00,0.00,0.00,0.00,6914.00,21292.00,85.00,10.00,6.00,0.00
1437641732,6.00,0.00,0.00,4729440.00,98152.00,1974376.00,0.00,0.00,0.00,820.00,6558.00,24773.00,85.00,11.00,4.00,0.00
1437641733,5.00,0.00,0.00,4718880.00,98164.00,1976076.00,0.00,0.00,0.00,5904.00,7104.00,21504.00,78.00,9.00,8.00,4.00
1437641734,11.00,0.00,0.00,4661696.00,98172.00,1977560.00,0.00,0.00,0.00,1344.00,8452.00,17226.00,80.00,8.00,11.00,1.00
1437641735,16.00,2.00,0.00,4579904.00,98172.00,1978852.00,0.00,0.00,52.00,1660.00,7499.00,22547.00,81.00,11.00,5.00,3.00
1437641736,8.00,0.00,0.00,4583104.00,98184.00,1939188.00,0.00,0.00,264.00,5120.00,6948.00,23865.00,79.00,13.00,5.00,3.00
1437641737,6.00,0.00,0.00,4547152.00,98188.00,1942272.00,0.00,0.00,0.00,6268.00,6527.00,25715.00,82.00,9.00,3.00,6.00
1437641738,5.00,0.00,0.00,4532096.00,98188.00,1942692.00,0.00,0.00,0.00,0.00,6462.00,22800.00,85.00,10.00,5.00,0.00
1437641739,11.00,0.00,0.00,4553452.00,98188.00,1911360.00,0.00,0.00,0.00,0.00,7760.00,21576.00,85.00,11.00,4.00,0.00
1437641740,2.00,3.00,0.00,4515388.00,98188.00,1939472.00,0.00,0.00,0.00,4688.00,7475.00,23818.00,76.00,13.00,8.00,4.00
1437641741,12.00,0.00,0.00,4498788.00,98192.00,1943332.00,0.00,0.00,0.00,1376.00,7135.00,21231.00,79.00,12.00,7.00,1.00
1437641742,4.00,0.00,0.00,4475312.00,98192.00,1947152.00,0.00,0.00,76.00,3864.00,7966.00,21806.00,80.00,14.00,5.00,1.00
1437641743,8.00,0.00,0.00,4462412.00,98204.00,1946576.00,0.00,0.00,8.00,2544.00,7609.00,20416.00,83.00,9.00,7.00,1.00
1437641744,9.00,1.00,0.00,4447384.00,98204.00,1947664.00,0.00,0.00,0.00,2308.00,7426.00,24592.00,77.00,10.00,3.00,9.00
1437641745,2.00,3.00,0.00,4425896.00,98216.00,1949304.00,0.00,0.00,0.00,2060.00,7318.00,25705.00,76.00,13.00,11.00,1.00
1437641746,10.00,0.00,0.00,4348184.00,98224.00,1949984.00,0.00,0.00,0.00,2068.00,7776.00,19064.00,76.00,11.00,7.00,7.00
1437641747,8.00,0.00,0.00,4331180.00,98224.00,1939784.00,0.00,0.00,0.00,3524.00,7424.00,34572.00,79.00,12.00,8.00,2.00
1437641748,8.00,0.00,0.00,4322716.00,98224.00,1940316.00,0.00,0.00,0.00,0.00,8099.00,27526.00,84.00,12.00,4.00,0.00
1437641749,7.00,0.00,0.00,4321012.00,98224.00,1941004.00,0.00,0.00,0.00,0.00,8329.00,31643.00,81.00,12.00,7.00,0.00
1437641750,14.00,0.00,0.00,4319108.00,98232.00,1942076.00,0.00,0.00,0.00,1308.00,7654.00,27835.00,82.00,11.00,6.00,0.00
1437641751,7.00,0.00,0.00,4297456.00,98232.00,1943480.00,0.00,0.00,20.00,3848.00,6032.00,31243.00,87.00,11.00,2.00,0.00
1437641752,8.00,0.00,0.00,4295948.00,98232.00,1944512.00,0.00,0.00,0.00,0.00,6566.00,27271.00,85.00,12.00,4.00,0.00
1437641753,16.00,0.00,0.00,4264764.00,98240.00,1944704.00,0.00,0.00,0.00,4220.00,7056.00,27984.00,72.00,10.00,6.00,12.00
1437641754,10.00,0.00,0.00,4236520.00,98240.00,1947852.00,0.00,0.00,0.00,0.00,6905.00,33427.00,85.00,11.00,3.00,0.00
1437641755,6.00,0.00,0.00,4209552.00,98240.00,1949096.00,0.00,0.00,316.00,1268.00,6718.00,32722.00,80.00,14.00,6.00,0.00
1437641756,13.00,0.00,0.00,4167336.00,98240.00,1951076.00,0.00,0.00,52.00,1724.00,6826.00,31643.00,79.00,14.00,3.00,5.00
1437641757,8.00,0.00,0.00,4138200.00,98248.00,1951988.00,0.00,0.00,280.00,5480.00,7199.00,29828.00,82.00,12.00,2.00,4.00
1437641758,31.00,1.00,0.00,4117056.00,98248.00,1952232.00,0.00,0.00,0.00,3220.00,7051.00,30804.00,85.00,13.00,2.00,0.00
1437641759,12.00,0.00,0.00,4094268.00,98248.00,1953716.00,0.00,0.00,0.00,0.00,6341.00,30631.00,84.00,14.00,2.00,0.00
1437641760,8.00,0.00,0.00,4059548.00,98248.00,1959688.00,0.00,0.00,0.00,0.00,6252.00,30701.00,85.00,14.00,2.00,0.00
1437641761,14.00,0.00,0.00,4030384.00,98248.00,1961940.00,0.00,0.00,0.00,2400.00,6153.00,27373.00,87.00,13.00,1.00,0.00
1437641762,15.00,0.00,0.00,3999256.00,98260.00,1961216.00,0.00,0.00,16.00,2724.00,6053.00,23146.00,86.00,13.00,2.00,1.00
1437641763,13.00,7.00,0.00,3974528.00,98268.00,1961996.00,0.00,0.00,12.00,4528.00,6039.00,31315.00,81.00,13.00,1.00,5.00
1437641764,10.00,0.00,0.00,3940236.00,98276.00,1965316.00,0.00,0.00,100.00,1864.00,7531.00,32115.00,84.00,13.00,2.00,1.00
1437641765,26.00,0.00,0.00,3912792.00,98276.00,1968640.00,0.00,0.00,0.00,2828.00,6399.00,28936.00,83.00,14.00,3.00,0.00
1437641766,25.00,0.00,0.00,3880032.00,98276.00,1972468.00,0.00,0.00,0.00,1552.00,5852.00,30054.00,87.00,11.00,2.00,0.00
1437641767,31.00,2.00,0.00,3837092.00,98288.00,1975356.00,0.00,0.00,16.00,6184.00,6253.00,34209.00,85.00,13.00,1.00,1.00
1437641768,8.00,10.00,0.00,3775664.00,98296.00,1977252.00,0.00,0.00,0.00,3908.00,5621.00,26613.00,84.00,12.00,4.00,1.00
1437641769,11.00,0.00,0.00,3705272.00,98304.00,1979272.00,0.00,0.00,0.00,1600.00,6458.00,27900.00,88.00,11.00,1.00,0.00
1437641770,10.00,0.00,0.00,3660108.00,98304.00,1979040.00,0.00,0.00,0.00,1432.00,5951.00,24485.00,86.00,12.00,3.00,0.00
1437641771,13.00,0.00,0.00,3606832.00,98304.00,1980548.00,0.00,0.00,4.00,1724.00,6378.00,27017.00,87.00,11.00,2.00,0.00
